year_month,call_year,call_month,no_of_calls
201701,2017,1,33442
201702,2017,2,26669
201703,2017,3,30243
201704,2017,4,27460
201705,2017,5,27769
201706,2017,6,29257
201707,2017,7,28731
201708,2017,8,32361
201709,2017,9,41964
201710,2017,10,26934
201711,2017,11,22960
201712,2017,12,22175
201801,2018,1,30888
201802,2018,2,27433
201803,2018,3,30681
201804,2018,4,33048
201805,2018,5,32634
201806,2018,6,31583
201807,2018,7,33991
201808,2018,8,35683
201809,2018,9,32103
201810,2018,10,34378
201811,2018,11,30199
201812,2018,12,33929
201901,2019,1,35138
201902,2019,2,28504
201903,2019,3,30837
201904,2019,4,33253
201905,2019,5,37548
201906,2019,6,33644
201907,2019,7,35322
201908,2019,8,31765
201909,2019,9,33671
