SR CREATE DATE,call_year,call_month,call_day,weatherflag,call_count
2017-01-01,2017,1,1,0,158
2017-01-02,2017,1,2,1,558
2017-01-03,2017,1,3,0,1157
2017-01-04,2017,1,4,0,1117
2017-01-05,2017,1,5,0,1151
2017-01-06,2017,1,6,0,969
2017-01-07,2017,1,7,0,959
2017-01-08,2017,1,8,0,516
2017-01-09,2017,1,9,0,1368
2017-01-10,2017,1,10,0,1422
2017-01-11,2017,1,11,0,1102
2017-01-12,2017,1,12,0,1190
2017-01-13,2017,1,13,0,1035
2017-01-14,2017,1,14,0,435
2017-01-15,2017,1,15,0,230
2017-01-16,2017,1,16,1,561
2017-01-17,2017,1,17,0,1266
2017-01-18,2017,1,18,1,2038
2017-01-19,2017,1,19,0,1722
2017-01-20,2017,1,20,1,1962
2017-01-21,2017,1,21,0,732
2017-01-22,2017,1,22,1,771
2017-01-23,2017,1,23,0,1582
2017-01-24,2017,1,24,0,1711
2017-01-25,2017,1,25,0,1753
2017-01-26,2017,1,26,0,1373
2017-01-27,2017,1,27,0,1145
2017-01-28,2017,1,28,0,441
2017-01-29,2017,1,29,0,370
2017-01-30,2017,1,30,0,1338
2017-01-31,2017,1,31,0,1310
2017-02-01,2017,2,1,0,1105
2017-02-02,2017,2,2,0,1152
2017-02-03,2017,2,3,0,978
2017-02-04,2017,2,4,0,458
2017-02-05,2017,2,5,0,260
2017-02-06,2017,2,6,0,1208
2017-02-07,2017,2,7,0,1291
2017-02-08,2017,2,8,0,1173
2017-02-09,2017,2,9,0,1124
2017-02-10,2017,2,10,0,1235
2017-02-11,2017,2,11,0,595
2017-02-12,2017,2,12,0,391
2017-02-13,2017,2,13,0,1389
2017-02-14,2017,2,14,1,1161
2017-02-15,2017,2,15,0,1080
2017-02-16,2017,2,16,0,1220
2017-02-17,2017,2,17,0,550
2017-02-18,2017,2,18,0,551
2017-02-19,2017,2,19,0,309
2017-02-20,2017,2,20,0,1084
2017-02-21,2017,2,21,0,1371
2017-02-22,2017,2,22,0,1167
2017-02-23,2017,2,23,0,1202
2017-02-24,2017,2,24,0,1132
2017-02-25,2017,2,25,0,459
2017-02-26,2017,2,26,0,290
2017-02-27,2017,2,27,0,1317
2017-02-28,2017,2,28,0,1417
2017-03-01,2017,3,1,0,1201
2017-03-02,2017,3,2,0,1034
2017-03-03,2017,3,3,0,917
2017-03-04,2017,3,4,0,460
2017-03-05,2017,3,5,0,410
2017-03-06,2017,3,6,0,1275
2017-03-07,2017,3,7,0,1322
2017-03-08,2017,3,8,0,1143
2017-03-09,2017,3,9,0,1113
2017-03-10,2017,3,10,0,1043
2017-03-11,2017,3,11,0,389
2017-03-12,2017,3,12,0,321
2017-03-13,2017,3,13,0,1206
2017-03-14,2017,3,14,0,1257
2017-03-15,2017,3,15,0,1096
2017-03-16,2017,3,16,0,1053
2017-03-17,2017,3,17,0,1090
2017-03-18,2017,3,18,0,460
2017-03-19,2017,3,19,0,325
2017-03-20,2017,3,20,0,1288
2017-03-21,2017,3,21,0,1473
2017-03-22,2017,3,22,0,1219
2017-03-23,2017,3,23,0,1087
2017-03-24,2017,3,24,1,1080
2017-03-25,2017,3,25,1,475
2017-03-26,2017,3,26,0,342
2017-03-27,2017,3,27,0,1243
2017-03-28,2017,3,28,0,1400
2017-03-29,2017,3,29,1,1466
2017-03-30,2017,3,30,0,1109
2017-03-31,2017,3,31,0,946
2017-04-01,2017,4,1,0,503
2017-04-02,2017,4,2,0,283
2017-04-03,2017,4,3,0,1393
2017-04-04,2017,4,4,0,1224
2017-04-05,2017,4,5,0,1153
2017-04-06,2017,4,6,0,1210
2017-04-07,2017,4,7,0,1218
2017-04-08,2017,4,8,0,485
2017-04-09,2017,4,9,0,298
2017-04-10,2017,4,10,0,1310
