SR CREATE DATE,SR TYPE,count_sr_type,rank_no,call_year,call_month,call_day
2017-01-01,Sewer Wastewater,35,1,2017,1,1
2017-01-01,Water Leak,20,2,2017,1,1
2017-01-01,Traffic Signal Maintenance,16,3,2017,1,1
2017-01-02,Sewer Wastewater,77,1,2017,1,2
2017-01-02,Traffic Signal Maintenance,50,2,2017,1,2
2017-01-02,Container Problem,44,3,2017,1,2
2017-01-03,Sewer Wastewater,108,1,2017,1,3
2017-01-03,Container Problem,105,2,2017,1,3
2017-01-03,Missed Garbage Pickup,87,3,2017,1,3
2017-01-04,Sewer Wastewater,97,1,2017,1,4
2017-01-04,Missed Garbage Pickup,91,2,2017,1,4
2017-01-04,Container Problem,73,3,2017,1,4
2017-01-05,Missed Garbage Pickup,140,1,2017,1,5
2017-01-05,Container Problem,92,2,2017,1,5
2017-01-05,Sewer Wastewater,71,3,2017,1,5
2017-01-06,Missed Garbage Pickup,152,1,2017,1,6
2017-01-06,Missed Recycling Pickup,78,2,2017,1,6
2017-01-06,Container Problem,74,3,2017,1,6
2017-01-07,Water Service,331,1,2017,1,7
2017-01-07,Water Leak,167,2,2017,1,7
2017-01-07,Water Main Valve,101,3,2017,1,7
2017-01-08,Water Leak,107,1,2017,1,8
2017-01-08,Water Service,61,2,2017,1,8
2017-01-08,Water Main Valve,48,3,2017,1,8
2017-01-09,Missed Garbage Pickup,139,1,2017,1,9
2017-01-09,Sewer Wastewater,134,2,2017,1,9
2017-01-09,Water Leak,128,3,2017,1,9
2017-01-10,Missed Garbage Pickup,151,1,2017,1,10
2017-01-10,Nuisance On Property,107,2,2017,1,10
2017-01-10,Water Leak,105,3,2017,1,10
2017-01-11,Water Leak,112,1,2017,1,11
2017-01-11,Sewer Wastewater,99,2,2017,1,11
2017-01-11,Missed Garbage Pickup,55,3,2017,1,11
2017-01-12,Sewer Wastewater,99,1,2017,1,12
2017-01-12,Water Leak,97,2,2017,1,12
2017-01-12,Missed Garbage Pickup,91,3,2017,1,12
2017-01-13,Missed Garbage Pickup,104,1,2017,1,13
2017-01-13,Sewer Wastewater,72,2,2017,1,13
2017-01-13,Water Leak,68,3,2017,1,13
2017-01-14,Sewer Wastewater,50,1,2017,1,14
2017-01-14,Water Leak,47,2,2017,1,14
2017-01-14,Traffic Signal Maintenance,27,3,2017,1,14
2017-01-15,Sewer Wastewater,49,1,2017,1,15
2017-01-15,Water Leak,24,2,2017,1,15
2017-01-15,Traffic Signal Maintenance,24,3,2017,1,15
2017-01-16,Water Leak,54,1,2017,1,16
2017-01-16,Sewer Wastewater,53,2,2017,1,16
2017-01-16,Traffic Signal Maintenance,36,3,2017,1,16
2017-01-17,Container Problem,101,1,2017,1,17
2017-01-17,Sewer Wastewater,93,2,2017,1,17
2017-01-17,Traffic Signal Maintenance,83,3,2017,1,17
2017-01-18,Container Problem,290,1,2017,1,18
2017-01-18,Drainage,195,2,2017,1,18
2017-01-18,Flooding,175,3,2017,1,18
2017-01-19,Missed Recycling Pickup,207,1,2017,1,19
2017-01-19,Missed Garbage Pickup,204,2,2017,1,19
2017-01-19,Container Problem,176,3,2017,1,19
2017-01-20,Missed Recycling Pickup,549,1,2017,1,20
2017-01-20,Missed Garbage Pickup,150,2,2017,1,20
2017-01-20,Sewer Wastewater,122,3,2017,1,20
2017-01-21,Sewer Wastewater,90,1,2017,1,21
2017-01-21,Water Leak,67,2,2017,1,21
2017-01-21,Drainage,62,3,2017,1,21
2017-01-22,Traffic Signal Maintenance,242,1,2017,1,22
2017-01-22,Street Hazard,54,2,2017,1,22
2017-01-22,Sewer Wastewater,53,3,2017,1,22
2017-01-23,Sewer Wastewater,136,1,2017,1,23
2017-01-23,Traffic Signal Maintenance,126,2,2017,1,23
2017-01-23,Missed Garbage Pickup,116,3,2017,1,23
2017-01-24,Missed Garbage Pickup,145,1,2017,1,24
2017-01-24,Container Problem,135,2,2017,1,24
2017-01-24,Water Leak,122,3,2017,1,24
2017-01-25,Graffiti Private or Commercial Property,277,1,2017,1,25
2017-01-25,Missed Recycling Pickup,118,2,2017,1,25
2017-01-25,Sewer Wastewater,97,3,2017,1,25
2017-01-26,Water Leak,87,1,2017,1,26
2017-01-26,Container Problem,87,2,2017,1,26
2017-01-26,Missed Garbage Pickup,80,3,2017,1,26
2017-01-27,Missed Garbage Pickup,112,1,2017,1,27
2017-01-27,Sewer Wastewater,90,2,2017,1,27
2017-01-27,Container Problem,86,3,2017,1,27
2017-01-28,Water Leak,65,1,2017,1,28
2017-01-28,Traffic Signal Maintenance,35,2,2017,1,28
2017-01-28,Sewer Wastewater,34,3,2017,1,28
2017-01-29,Water Leak,51,1,2017,1,29
2017-01-29,Traffic Signal Maintenance,34,2,2017,1,29
2017-01-29,Sewer Wastewater,25,3,2017,1,29
2017-01-30,Water Leak,116,1,2017,1,30
2017-01-30,Sewer Wastewater,108,2,2017,1,30
2017-01-30,Container Problem,100,3,2017,1,30
2017-01-31,Water Leak,116,1,2017,1,31
2017-01-31,Missed Garbage Pickup,114,2,2017,1,31
2017-01-31,Container Problem,108,3,2017,1,31
2017-02-01,Water Leak,93,1,2017,2,1
2017-02-01,Sewer Wastewater,79,2,2017,2,1
2017-02-01,Container Problem,66,3,2017,2,1
2017-02-02,Water Leak,122,1,2017,2,2
2017-02-02,Sewer Wastewater,93,2,2017,2,2
2017-02-02,Missed Garbage Pickup,62,3,2017,2,2
2017-02-03,Water Leak,92,1,2017,2,3
2017-02-03,Sewer Wastewater,90,2,2017,2,3
2017-02-03,Missed Garbage Pickup,73,3,2017,2,3
2017-02-04,Sewer Wastewater,56,1,2017,2,4
2017-02-04,Water Leak,51,2,2017,2,4
2017-02-04,Missed Garbage Pickup,34,3,2017,2,4
2017-02-05,Water Leak,36,1,2017,2,5
2017-02-05,Sewer Wastewater,32,2,2017,2,5
2017-02-05,Traffic Signal Maintenance,18,3,2017,2,5
2017-02-06,Water Leak,118,1,2017,2,6
2017-02-06,Sewer Wastewater,109,2,2017,2,6
2017-02-06,Container Problem,94,3,2017,2,6
2017-02-07,Water Leak,132,1,2017,2,7
2017-02-07,Sewer Wastewater,99,2,2017,2,7
2017-02-07,Missed Garbage Pickup,98,3,2017,2,7
2017-02-08,Missed Heavy Trash Pickup,108,1,2017,2,8
2017-02-08,Water Leak,96,2,2017,2,8
2017-02-08,Sewer Wastewater,77,3,2017,2,8
2017-02-09,Water Leak,93,1,2017,2,9
2017-02-09,Missed Heavy Trash Pickup,89,2,2017,2,9
2017-02-09,Container Problem,73,3,2017,2,9
2017-02-10,Missed Heavy Trash Pickup,149,1,2017,2,10
2017-02-10,Missed Garbage Pickup,92,2,2017,2,10
2017-02-10,Water Leak,87,3,2017,2,10
2017-02-11,Sewer Wastewater,63,1,2017,2,11
2017-02-11,Missed Heavy Trash Pickup,62,2,2017,2,11
2017-02-11,Water Leak,47,3,2017,2,11
2017-02-12,Water Leak,36,1,2017,2,12
2017-02-12,Sewer Wastewater,31,2,2017,2,12
2017-02-12,Water Service,26,3,2017,2,12
2017-02-13,Water Leak,129,1,2017,2,13
2017-02-13,Sewer Wastewater,98,2,2017,2,13
2017-02-13,Missed Garbage Pickup,98,3,2017,2,13
2017-02-14,Missed Garbage Pickup,136,1,2017,2,14
2017-02-14,Traffic Signal Maintenance,110,2,2017,2,14
2017-02-14,Container Problem,76,3,2017,2,14
2017-02-15,Missed Heavy Trash Pickup,97,1,2017,2,15
2017-02-15,Water Leak,78,2,2017,2,15
2017-02-15,Traffic Signal Maintenance,65,3,2017,2,15
2017-02-16,Missed Heavy Trash Pickup,127,1,2017,2,16
2017-02-16,Water Leak,95,2,2017,2,16
2017-02-16,Sewer Wastewater,86,3,2017,2,16
2017-02-17,Missed Garbage Pickup,44,1,2017,2,17
2017-02-17,Container Problem,42,2,2017,2,17
2017-02-17,Missed Heavy Trash Pickup,42,3,2017,2,17
2017-02-18,Water Leak,47,1,2017,2,18
2017-02-18,Nuisance On Property,44,2,2017,2,18
2017-02-18,Sewer Wastewater,38,3,2017,2,18
2017-02-19,Sewer Wastewater,34,1,2017,2,19
2017-02-19,Water Leak,26,2,2017,2,19
2017-02-19,Nuisance On Property,26,3,2017,2,19
2017-02-20,Nuisance On Property,88,1,2017,2,20
2017-02-20,Container Problem,79,2,2017,2,20
2017-02-20,Sewer Wastewater,77,3,2017,2,20
2017-02-21,Sewer Wastewater,106,1,2017,2,21
2017-02-21,Missed Garbage Pickup,102,2,2017,2,21
2017-02-21,Container Problem,89,3,2017,2,21
2017-02-22,Water Leak,100,1,2017,2,22
2017-02-22,Sewer Wastewater,98,2,2017,2,22
2017-02-22,Unclassified 311 Web Request,63,3,2017,2,22
2017-02-23,Water Leak,91,1,2017,2,23
2017-02-23,Sewer Wastewater,89,2,2017,2,23
2017-02-23,Missed Heavy Trash Pickup,84,3,2017,2,23
2017-02-24,Missed Garbage Pickup,114,1,2017,2,24
2017-02-24,Missed Heavy Trash Pickup,83,2,2017,2,24
2017-02-24,Container Problem,69,3,2017,2,24
2017-02-25,Sewer Wastewater,42,1,2017,2,25
2017-02-25,Water Leak,42,2,2017,2,25
2017-02-25,Missed Heavy Trash Pickup,36,3,2017,2,25
2017-02-26,Sewer Wastewater,38,1,2017,2,26
2017-02-26,Water Leak,24,2,2017,2,26
2017-02-26,Trash Dumping or Illegal Dumpsite,17,3,2017,2,26
2017-02-27,Missed Garbage Pickup,104,1,2017,2,27
2017-02-27,Sewer Wastewater,97,2,2017,2,27
2017-02-27,Water Leak,94,3,2017,2,27
2017-02-28,Missed Garbage Pickup,168,1,2017,2,28
2017-02-28,Container Problem,96,2,2017,2,28
2017-02-28,Water Leak,95,3,2017,2,28
2017-03-01,Missed Recycling Pickup,84,1,2017,3,1
2017-03-01,Water Leak,79,2,2017,3,1
2017-03-01,Sewer Wastewater,75,3,2017,3,1
2017-03-02,Water Leak,95,1,2017,3,2
2017-03-02,Missed Heavy Trash Pickup,64,2,2017,3,2
2017-03-02,Container Problem,60,3,2017,3,2
2017-03-03,Missed Garbage Pickup,81,1,2017,3,3
2017-03-03,Sewer Wastewater,73,2,2017,3,3
2017-03-03,Container Problem,72,3,2017,3,3
2017-03-04,Missed Garbage Pickup,38,1,2017,3,4
2017-03-04,Water Service,31,2,2017,3,4
2017-03-04,Sewer Wastewater,31,3,2017,3,4
2017-03-05,Sewer Wastewater,66,1,2017,3,5
2017-03-05,Traffic Signal Maintenance,59,2,2017,3,5
2017-03-05,Street Hazard,39,3,2017,3,5
2017-03-06,Sewer Wastewater,130,1,2017,3,6
2017-03-06,Drainage,96,2,2017,3,6
2017-03-06,Container Problem,82,3,2017,3,6
2017-03-07,Missed Garbage Pickup,113,1,2017,3,7
2017-03-07,Sewer Wastewater,97,2,2017,3,7
2017-03-07,Container Problem,85,3,2017,3,7
2017-03-08,Sewer Wastewater,81,1,2017,3,8
2017-03-08,Container Problem,67,2,2017,3,8
2017-03-08,Missed Recycling Pickup,67,3,2017,3,8
2017-03-09,Sewer Wastewater,96,1,2017,3,9
2017-03-09,Container Problem,67,2,2017,3,9
2017-03-09,Water Leak,61,3,2017,3,9
2017-03-10,Missed Garbage Pickup,75,1,2017,3,10
2017-03-10,Sewer Wastewater,67,2,2017,3,10
2017-03-10,Container Problem,64,3,2017,3,10
2017-03-11,Sewer Wastewater,34,1,2017,3,11
2017-03-11,Traffic Signal Maintenance,22,2,2017,3,11
2017-03-11,Heavy Trash Violation,21,3,2017,3,11
2017-03-12,Sewer Wastewater,30,1,2017,3,12
2017-03-12,Traffic Signal Maintenance,28,2,2017,3,12
2017-03-12,Water Leak,27,3,2017,3,12
2017-03-13,Sewer Wastewater,118,1,2017,3,13
2017-03-13,Container Problem,84,2,2017,3,13
2017-03-13,Water Leak,81,3,2017,3,13
2017-03-14,Missed Garbage Pickup,118,1,2017,3,14
2017-03-14,Container Problem,97,2,2017,3,14
2017-03-14,Missed Recycling Pickup,94,3,2017,3,14
2017-03-15,Sewer Wastewater,68,1,2017,3,15
2017-03-15,Missed Recycling Pickup,66,2,2017,3,15
2017-03-15,Container Problem,65,3,2017,3,15
2017-03-16,Water Leak,76,1,2017,3,16
2017-03-16,Container Problem,75,2,2017,3,16
2017-03-16,Sewer Wastewater,64,3,2017,3,16
2017-03-17,Missed Garbage Pickup,80,1,2017,3,17
2017-03-17,Heavy Trash Violation,78,2,2017,3,17
2017-03-17,Sewer Wastewater,77,3,2017,3,17
2017-03-18,Sewer Wastewater,40,1,2017,3,18
2017-03-18,Water Leak,35,2,2017,3,18
2017-03-18,Traffic Signal Maintenance,25,3,2017,3,18
2017-03-19,Water Leak,41,1,2017,3,19
2017-03-19,Sewer Wastewater,38,2,2017,3,19
2017-03-19,Nuisance On Property,32,3,2017,3,19
2017-03-20,Missed Garbage Pickup,109,1,2017,3,20
2017-03-20,Sewer Wastewater,97,2,2017,3,20
2017-03-20,Water Leak,96,3,2017,3,20
2017-03-21,Missed Garbage Pickup,175,1,2017,3,21
2017-03-21,Nuisance On Property,112,2,2017,3,21
2017-03-21,Container Problem,107,3,2017,3,21
2017-03-22,Nuisance On Property,123,1,2017,3,22
2017-03-22,Missed Garbage Pickup,88,2,2017,3,22
2017-03-22,Missed Recycling Pickup,81,3,2017,3,22
2017-03-23,Nuisance On Property,118,1,2017,3,23
2017-03-23,Water Leak,70,2,2017,3,23
2017-03-23,Missed Garbage Pickup,66,3,2017,3,23
2017-03-24,Missed Garbage Pickup,89,1,2017,3,24
2017-03-24,Container Problem,83,2,2017,3,24
2017-03-24,Nuisance On Property,69,3,2017,3,24
2017-03-25,Traffic Signal Maintenance,47,1,2017,3,25
2017-03-25,Street Hazard,36,2,2017,3,25
2017-03-25,Water Leak,29,3,2017,3,25
2017-03-26,Sewer Wastewater,38,1,2017,3,26
2017-03-26,Traffic Signal Maintenance,33,2,2017,3,26
2017-03-26,Dead Animal Collection,29,3,2017,3,26
2017-03-27,Sewer Wastewater,85,1,2017,3,27
2017-03-27,Missed Garbage Pickup,85,2,2017,3,27
2017-03-27,Container Problem,82,3,2017,3,27
2017-03-28,Missed Garbage Pickup,130,1,2017,3,28
2017-03-28,Container Problem,110,2,2017,3,28
